File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022056184357_aid0001,SDS_LST,aid0001,2022-02-25 18:43:57 UTC,20645,007,0601,True,1947.0,292.56,302.92,"(292.56,302.92)",298.917925,1.2907163,1.6659486,299.76,301.9,299.2,296.0,298.24
ECO2LSTE_001_SDS_LST_doy2022059094730_aid0001,SDS_LST,aid0001,2022-02-28 09:47:30 UTC,20686,001,0601,True,1931.0,278.64,284.66,"(278.64,284.66)",281.1116831,0.8994108,0.8089398,281.66,283.48,281.08,278.64,280.44
ECO2LSTE_001_SDS_LST_doy2022060170857_aid0001,SDS_LST,aid0001,2022-03-01 17:08:57 UTC,20706,012,0601,True,1955.0,292.9,301.7,"(292.9,301.7)",297.3914373,0.9692418,0.9394297,297.98,299.48,297.5,295.36,296.92
ECO2LSTE_001_SDS_LST_doy2022063081228_aid0001,SDS_LST,aid0001,2022-03-04 08:12:28 UTC,20747,003,0601,True,1939.0,235.06,240.08,"(235.06,240.08)",237.8713873,0.5609705,0.3146879,238.22,239.26,237.86,236.52,237.52
ECO2LSTE_001_SDS_LST_doy2022068135812_aid0001,SDS_LST,aid0001,2022-03-09 13:58:12 UTC,20828,011,0601,True,1961.0,277.24,282.72,"(277.24,282.72)",279.4624579,0.8269933,0.6839179,280.0,281.58,279.52,277.32,278.9
ECO2LSTE_001_SDS_LST_doy2022071050156_aid0001,SDS_LST,aid0001,2022-03-12 05:01:56 UTC,20869,003,0601,True,1928.0,282.5,287.2,"(282.5,287.2)",284.2353527,0.8025031,0.6440112,284.72,286.36,284.12,282.5,283.62
ECO2LSTE_001_SDS_LST_doy2022072122318_aid0001,SDS_LST,aid0001,2022-03-13 12:23:18 UTC,20889,014,0601,True,1939.0,279.74,283.98,"(279.74,283.98)",281.3217432,0.6427735,0.4131578,281.74,283.08,281.28,279.74,280.84
ECO2LSTE_001_SDS_LST_doy2022075032727_aid0001,SDS_LST,aid0001,2022-03-16 03:27:27 UTC,20930,003,0601,True,1955.0,259.56,287.88,"(259.56,287.88)",274.906087,8.1121302,65.8066566,281.89,287.88,274.82,259.56,268.08
ECO2LSTE_001_SDS_LST_doy2022076104842_aid0001,SDS_LST,aid0001,2022-03-17 10:48:42 UTC,20950,016,0601,True,1959.0,282.38,286.14,"(282.38,286.14)",284.1217356,0.573813,0.3292613,284.48,285.62,284.1,282.6,283.72
ECO2LSTE_001_SDS_LST_doy2022080091352_aid0001,SDS_LST,aid0001,2022-03-21 09:13:52 UTC,21011,014,0601,False,1966.0,282.22,285.26,"(282.22,285.26)",283.7750966,0.3526819,0.1243845,283.98,284.6,283.78,282.94,283.56
ECO2LSTE_001_SDS_LST_doy2022083001756_aid0001,SDS_LST,aid0001,2022-03-24 00:17:56 UTC,21053,003,0601,True,1649.0,300.2,305.6,"(300.2,305.6)",303.7078229,0.7909704,0.6256341,304.18,305.42,303.8,302.04,303.32
ECO2LSTE_001_SDS_LST_doy2022084073905_aid0001,SDS_LST,aid0001,2022-03-25 07:39:05 UTC,21073,017,0601,True,1961.0,280.34,284.84,"(280.34,284.84)",282.500153,0.8105851,0.6570482,283.04,284.66,282.48,280.34,281.92
ECO2LSTE_001_SDS_LST_doy2022086224254_aid0001,SDS_LST,aid0001,2022-03-27 22:42:54 UTC,21114,003,0601,True,1958.0,300.46,309.3,"(300.46,309.3)",305.371665,1.0004922,1.0009847,306.0,307.72,305.48,303.06,304.82
ECO2LSTE_001_SDS_LST_doy2022089215540_aid0001,SDS_LST,aid0001,2022-03-30 21:55:40 UTC,21160,005,0601,True,1936.0,279.8,296.6,"(279.8,296.6)",288.0941942,3.3477466,11.2074072,290.76,296.6,287.8,279.8,285.76
ECO2LSTE_001_SDS_LST_doy2022093201950_aid0001,SDS_LST,aid0001,2022-04-03 20:19:50 UTC,21221,001,0601,True,1950.0,276.0,290.06,"(276.0,290.06)",278.1290769,1.5669972,2.4554801,278.755,281.32,277.58,276.0,277.04
ECO2LSTE_001_SDS_LST_doy2022097184316_aid0001,SDS_LST,aid0001,2022-04-07 18:43:16 UTC,21282,003,0601,True,1959.0,310.98,322.1,"(310.98,322.1)",316.8669015,1.350104,1.8227808,317.76,320.22,317.16,313.64,316.11
ECO2LSTE_001_SDS_LST_doy2022099020335_aid0001,SDS_LST,aid0001,2022-04-09 02:03:35 UTC,21302,017,0601,True,1945.0,299.94,304.4,"(299.94,304.4)",301.8866427,0.670335,0.449349,302.34,303.68,301.88,300.06,301.42
ECO2LSTE_001_SDS_LST_doy2022101170644_aid0001,SDS_LST,aid0001,2022-04-11 17:06:44 UTC,21343,001,0601,True,1934.0,272.78,278.44,"(272.78,278.44)",274.7661634,0.9000556,0.8101002,275.415,277.44,274.64,272.78,274.06
ECO2LSTE_001_SDS_LST_doy2022103002734_aid0001,SDS_LST,aid0001,2022-04-13 00:27:34 UTC,21363,016,0601,True,1942.0,295.28,301.14,"(295.28,301.14)",298.8187642,0.7313617,0.5348899,299.28,300.66,298.78,296.94,298.34
ECO2LSTE_001_SDS_LST_doy2022105153001_aid0001,SDS_LST,aid0001,2022-04-15 15:30:01 UTC,21404,001,0601,True,1957.0,287.78,292.76,"(287.78,292.76)",290.48465,0.6871709,0.4722038,290.94,292.12,290.56,288.8,290.08
ECO2LSTE_001_SDS_LST_doy2022106224957_aid0001,SDS_LST,aid0001,2022-04-16 22:49:57 UTC,21424,011,0601,True,1942.0,275.12,298.74,"(275.12,298.74)",285.1749846,7.0420008,49.5897757,291.46,298.74,284.85,275.12,278.24
ECO2LSTE_001_SDS_LST_doy2022113121505_aid0001,SDS_LST,aid0001,2022-04-23 12:15:05 UTC,21526,003,0601,False,1944.0,275.6,286.04,"(275.6,286.04)",279.3945267,1.191531,1.4197462,279.96,281.32,279.48,277.42,278.94
ECO2LSTE_001_SDS_LST_doy2022114193614_aid0001,SDS_LST,aid0001,2022-04-24 19:36:14 UTC,21546,015,0601,True,1937.0,313.38,324.32,"(313.38,324.32)",319.4429427,1.539197,2.3691273,320.46,323.08,319.7,316.06,318.7
ECO2LSTE_001_SDS_LST_doy2022116112754_aid0001,SDS_LST,aid0001,2022-04-26 11:27:54 UTC,21573,003,0601,True,34.0,285.6,286.92,"(285.6,286.92)",286.5117647,0.3353003,0.1124263,286.8,286.92,286.52,285.82,286.4
