File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022235120014_aid0001,SDS_LST,aid0001,2022-08-23 12:00:14 UTC,23423,003,0601,False,1940.0,288.3,291.62,"(288.3,291.62)",289.6108454,0.5137466,0.2639356,289.94,290.98,289.6,288.3,289.24
ECO2LSTE_001_SDS_LST_doy2022235120106_aid0001,SDS_LST,aid0001,2022-08-23 12:01:06 UTC,23423,004,0601,False,736.0,288.74,290.88,"(288.74,290.88)",289.5718478,0.3575199,0.1278205,289.8,290.46,289.58,288.74,289.34
ECO2LSTE_001_SDS_LST_doy2022236192024_aid0001,SDS_LST,aid0001,2022-08-24 19:20:24 UTC,23443,012,0601,True,1955.0,314.26,326.9,"(314.26,326.9)",320.6903836,1.4977906,2.2433768,321.74,324.38,320.94,317.04,319.84
ECO2LSTE_001_SDS_LST_doy2022239102358_aid0001,SDS_LST,aid0001,2022-08-27 10:23:58 UTC,23484,002,0601,True,1954.0,290.02,294.36,"(290.02,294.36)",291.2614637,0.5215614,0.2720263,291.52,292.42,291.2,290.02,290.92
ECO2LSTE_001_SDS_LST_doy2022240174342_aid0001,SDS_LST,aid0001,2022-08-28 17:43:42 UTC,23504,014,0601,True,1938.0,306.18,316.28,"(306.18,316.28)",312.3810836,1.2541458,1.5728816,313.26,315.6,312.6,309.32,311.68
ECO2LSTE_001_SDS_LST_doy2022242093456_aid0001,SDS_LST,aid0001,2022-08-30 09:34:56 UTC,23531,003,0601,True,1941.0,289.72,293.76,"(289.72,293.76)",290.9498918,0.4589712,0.2106545,291.22,292.06,290.9,289.86,290.64
ECO2LSTE_001_SDS_LST_doy2022243084659_aid0001,SDS_LST,aid0001,2022-08-31 08:46:59 UTC,23546,004,0601,True,1963.0,291.82,296.32,"(291.82,296.32)",293.7478655,0.7227702,0.5223968,294.16,295.56,293.68,291.82,293.22
ECO2LSTE_001_SDS_LST_doy2022244160703_aid0001,SDS_LST,aid0001,2022-09-01 16:07:03 UTC,23566,012,0601,True,1937.0,302.42,309.88,"(302.42,309.88)",306.5128136,0.8177476,0.6687112,307.04,308.46,306.64,304.64,306.08
ECO2LSTE_001_SDS_LST_doy2022246075821_aid0001,SDS_LST,aid0001,2022-09-03 07:58:21 UTC,23592,005,0601,True,1951.0,296.06,298.84,"(296.06,298.84)",297.5483854,0.4043954,0.1635356,297.84,298.68,297.56,296.46,297.26
ECO2LSTE_001_SDS_LST_doy2022248143003_aid0001,SDS_LST,aid0001,2022-09-05 14:30:03 UTC,23627,012,0601,True,1953.0,297.04,300.12,"(297.04,300.12)",298.8054583,0.3984999,0.1588022,299.06,299.8,298.82,297.76,298.54
ECO2LSTE_001_SDS_LST_doy2022250062112_aid0001,SDS_LST,aid0001,2022-09-07 06:21:12 UTC,23654,003,0601,True,1958.0,296.26,298.9,"(296.26,298.9)",297.51238,0.4333219,0.1877679,297.78,298.62,297.47,296.42,297.22
ECO2LSTE_001_SDS_LST_doy2022252125247_aid0001,SDS_LST,aid0001,2022-09-09 12:52:47 UTC,23689,011,0601,True,1965.0,296.4,299.74,"(296.4,299.74)",298.2585751,0.5569181,0.3101578,298.68,299.74,298.24,296.68,297.88
ECO2LSTE_001_SDS_LST_doy2022258030721_aid0001,SDS_LST,aid0001,2022-09-15 03:07:21 UTC,23776,002,0601,True,1944.0,293.14,296.78,"(293.14,296.78)",294.6700926,0.5504914,0.3030407,295.02,296.12,294.62,293.14,294.26
ECO2LSTE_001_SDS_LST_doy2022259102704_aid0001,SDS_LST,aid0001,2022-09-16 10:27:04 UTC,23796,017,0601,True,1934.0,288.76,293.78,"(288.76,293.78)",290.2774354,0.608904,0.3707641,290.62,291.74,290.24,288.76,289.84
ECO2LSTE_001_SDS_LST_doy2022262013000_aid0001,SDS_LST,aid0001,2022-09-19 01:30:00 UTC,23837,004,0601,True,1938.0,294.38,297.48,"(294.38,297.48)",295.5116305,0.4770627,0.2275888,295.78,296.68,295.46,294.38,295.18
ECO2LSTE_001_SDS_LST_doy2022272212427_aid0001,SDS_LST,aid0001,2022-09-29 21:24:27 UTC,24006,005,0601,True,1934.0,308.3,318.26,"(308.3,318.26)",313.1341365,1.2092119,1.4621933,313.935,316.22,313.28,310.1,312.4
ECO2LSTE_001_SDS_LST_doy2022275035556_aid0001,SDS_LST,aid0001,2022-10-02 03:55:56 UTC,24041,015,0601,True,1948.0,287.98,293.16,"(287.98,293.16)",290.8865914,0.7464237,0.5571483,291.34,292.44,290.98,289.5,290.6
ECO2LSTE_001_SDS_LST_doy2022276194750_aid0001,SDS_LST,aid0001,2022-10-03 19:47:50 UTC,24067,003,0601,True,1943.0,305.82,318.3,"(305.82,318.3)",312.9684406,1.4633737,2.1414625,313.99,316.54,313.18,309.38,312.14
ECO2LSTE_001_SDS_LST_doy2022279022054_aid0001,SDS_LST,aid0001,2022-10-06 02:20:54 UTC,24102,016,0601,True,1961.0,290.32,294.96,"(290.32,294.96)",292.7175319,0.8270745,0.6840522,293.34,294.96,292.88,290.54,292.2
ECO2LSTE_001_SDS_LST_doy2022280181158_aid0001,SDS_LST,aid0001,2022-10-07 18:11:58 UTC,24128,001,0601,True,1937.0,302.82,313.04,"(302.82,313.04)",308.4281982,1.2674679,1.6064749,309.32,311.48,308.66,305.32,307.7
ECO2LSTE_001_SDS_LST_doy2022284163545_aid0001,SDS_LST,aid0001,2022-10-11 16:35:45 UTC,24189,001,0601,True,1940.0,283.46,286.32,"(283.46,286.32)",284.6788247,0.3519171,0.1238456,284.84,285.4,284.64,283.92,284.46
ECO2LSTE_001_SDS_LST_doy2022285235552_aid0001,SDS_LST,aid0001,2022-10-12 23:55:52 UTC,24209,015,0601,True,1950.0,288.82,298.3,"(288.82,298.3)",292.9908308,1.9954674,3.9818901,294.54,298.3,292.76,288.82,291.38
ECO2LSTE_001_SDS_LST_doy2022292132313_aid0001,SDS_LST,aid0001,2022-10-19 13:23:13 UTC,24311,004,0601,True,1936.0,287.82,292.5,"(287.82,292.5)",289.4117562,0.6676344,0.4457358,289.84,291.16,289.36,287.82,288.915
ECO2LSTE_001_SDS_LST_doy2022296114714_aid0001,SDS_LST,aid0001,2022-10-23 11:47:14 UTC,24372,001,0601,True,1949.0,280.22,287.74,"(280.22,287.74)",284.6972807,1.4778901,2.184159,285.78,287.74,285.02,280.78,283.78
ECO2LSTE_001_SDS_LST_doy2022297190809_aid0001,SDS_LST,aid0001,2022-10-24 19:08:09 UTC,24392,014,0601,True,1934.0,299.94,310.38,"(299.94,310.38)",305.7653361,1.2324969,1.5190487,306.62,308.98,305.94,302.6,305.0
ECO2LSTE_001_SDS_LST_doy2022299110036_aid0001,SDS_LST,aid0001,2022-10-26 11:00:36 UTC,24418,002,0601,True,1048.0,281.98,286.88,"(281.98,286.88)",283.8424046,0.6473194,0.4190225,284.22,285.44,283.78,282.44,283.4
ECO2LSTE_001_SDS_LST_doy2022300101250_aid0001,SDS_LST,aid0001,2022-10-27 10:12:50 UTC,24433,004,0601,True,1948.0,281.84,287.2,"(281.84,287.2)",284.0642813,0.995044,0.9901125,284.72,286.7,283.92,281.84,283.34
ECO2LSTE_001_SDS_LST_doy2022303092522_aid0001,SDS_LST,aid0001,2022-10-30 09:25:22 UTC,24479,001,0601,True,1955.0,282.78,287.34,"(282.78,287.34)",284.6098005,0.6815677,0.4645345,285.0,286.28,284.56,282.96,284.14
ECO2LSTE_001_SDS_LST_doy2022304083716_aid0001,SDS_LST,aid0001,2022-10-31 08:37:16 UTC,24494,003,0601,True,1740.0,283.92,289.54,"(283.92,289.54)",286.0027586,1.1003835,1.2108439,286.54,288.48,285.8,283.92,285.24
ECO2LSTE_001_SDS_LST_doy2022304083808_aid0001,SDS_LST,aid0001,2022-10-31 08:38:08 UTC,24494,004,0601,True,1957.0,283.72,288.98,"(283.72,288.98)",285.6333061,0.953301,0.9087828,286.22,288.14,285.56,283.72,284.92
ECO2LSTE_001_SDS_LST_doy2022305155815_aid0001,SDS_LST,aid0001,2022-11-01 15:58:15 UTC,24514,012,0601,True,1958.0,218.02,267.0,"(218.02,267.0)",241.2352809,10.581609,111.970448,249.7,267.0,240.94,218.02,232.815
ECO2LSTE_001_SDS_LST_doy2022307074954_aid0001,SDS_LST,aid0001,2022-11-03 07:49:54 UTC,24540,005,0601,True,1944.0,280.72,284.76,"(280.72,284.76)",282.1923251,0.4473824,0.200151,282.42,283.2,282.14,281.16,281.9
ECO2LSTE_001_SDS_LST_doy2022309142226_aid0001,SDS_LST,aid0001,2022-11-05 14:22:26 UTC,24575,012,0601,True,1934.0,278.2,283.44,"(278.2,283.44)",279.8367528,0.713589,0.5092093,280.34,281.9,279.8,278.2,279.3
ECO2LSTE_001_SDS_LST_doy2022311061448_aid0001,SDS_LST,aid0001,2022-11-07 06:14:48 UTC,24601,002,0601,True,1930.0,283.48,286.88,"(283.48,286.88)",284.4819378,0.5043613,0.2543803,284.8,285.82,284.4,283.48,284.1
ECO2LSTE_001_SDS_LST_doy2022313124602_aid0001,SDS_LST,aid0001,2022-11-09 12:46:02 UTC,24636,014,0601,True,1963.0,266.28,277.26,"(266.28,277.26)",273.304381,2.4328022,5.9185267,275.26,277.26,273.78,267.22,272.04
ECO2LSTE_001_SDS_LST_doy2022315043743_aid0001,SDS_LST,aid0001,2022-11-11 04:37:43 UTC,24662,001,0601,True,1939.0,280.5,285.24,"(280.5,285.24)",282.0110882,0.6875162,0.4726785,282.42,283.74,281.94,280.5,281.52
ECO2LSTE_001_SDS_LST_doy2022316115756_aid0001,SDS_LST,aid0001,2022-11-12 11:57:56 UTC,24682,012,0601,True,1946.0,277.34,284.62,"(277.34,284.62)",280.1411716,0.9083859,0.8251649,280.68,282.34,280.16,277.88,279.56
ECO2LSTE_001_SDS_LST_doy2022317111011_aid0001,SDS_LST,aid0001,2022-11-13 11:10:11 UTC,24697,013,0601,True,1939.0,278.42,283.1,"(278.42,283.1)",280.0268592,0.7752075,0.6009467,280.53,282.16,280.02,278.42,279.42
ECO2LSTE_001_SDS_LST_doy2022319030106_aid0001,SDS_LST,aid0001,2022-11-15 03:01:06 UTC,24723,004,0601,True,1953.0,282.18,285.84,"(282.18,285.84)",283.6113466,0.5963118,0.3555878,283.94,285.04,283.56,282.18,283.2
ECO2LSTE_001_SDS_LST_doy2022320102151_aid0001,SDS_LST,aid0001,2022-11-16 10:21:51 UTC,24743,017,0601,True,1939.0,278.7,285.64,"(278.7,285.64)",281.2886849,1.348776,1.8191968,281.92,284.32,280.98,278.7,280.32
ECO2LSTE_001_SDS_LST_doy2022323012456_aid0001,SDS_LST,aid0001,2022-11-19 01:24:56 UTC,24784,004,0601,True,1939.0,284.74,288.94,"(284.74,288.94)",286.3546674,0.5982228,0.3578705,286.72,287.9,286.28,284.74,285.92
ECO2LSTE_001_SDS_LST_doy2022324084426_aid0001,SDS_LST,aid0001,2022-11-20 08:44:26 UTC,24804,017,0601,True,1929.0,278.0,284.88,"(278.0,284.88)",280.8968377,0.9935294,0.9871006,281.46,283.26,280.9,278.54,280.26
ECO2LSTE_001_SDS_LST_doy2022326234736_aid0001,SDS_LST,aid0001,2022-11-22 23:47:36 UTC,24845,004,0601,True,1950.0,289.84,294.8,"(289.84,294.8)",292.1927487,0.7157201,0.5122553,292.675,294.12,292.2,290.38,291.7
ECO2LSTE_001_SDS_LST_doy2022330221012_aid0001,SDS_LST,aid0001,2022-11-26 22:10:12 UTC,24906,002,0601,True,1936.0,296.02,301.26,"(296.02,301.26)",298.5440393,0.8263871,0.6829157,299.12,300.8,298.54,296.32,297.98
ECO2LSTE_001_SDS_LST_doy2022333212012_aid0001,SDS_LST,aid0001,2022-11-29 21:20:12 UTC,24952,003,0601,True,1958.0,280.44,299.68,"(280.44,299.68)",295.7282022,3.4858894,12.1514247,297.855,299.68,296.82,291.1,295.14
ECO2LSTE_001_SDS_LST_doy2022334203230_aid0001,SDS_LST,aid0001,2022-11-30 20:32:30 UTC,24967,002,0601,True,4.0,290.92,292.14,"(290.92,292.14)",291.43,0.4879549,0.2381,291.75,292.14,291.33,290.92,291.01
ECO2LSTE_001_SDS_LST_doy2022336035231_aid0001,SDS_LST,aid0001,2022-12-02 03:52:31 UTC,24987,015,0601,True,1947.0,261.58,270.4,"(261.58,270.4)",268.6533128,1.193518,1.4244851,269.24,270.4,268.88,267.14,268.4
ECO2LSTE_001_SDS_LST_doy2022337194454_aid0001,SDS_LST,aid0001,2022-12-03 19:44:54 UTC,25013,002,0601,True,1950.0,292.6,300.42,"(292.6,300.42)",297.6723179,1.0088803,1.0178394,298.395,300.26,297.81,295.16,297.1
ECO2LSTE_001_SDS_LST_doy2022340021635_aid0001,SDS_LST,aid0001,2022-12-06 02:16:35 UTC,25048,015,0601,True,1958.0,281.68,285.54,"(281.68,285.54)",283.3764862,0.5832801,0.3402156,283.76,284.9,283.36,281.88,283.0
ECO2LSTE_001_SDS_LST_doy2022341180856_aid0001,SDS_LST,aid0001,2022-12-07 18:08:56 UTC,25074,002,0601,True,1962.0,284.96,292.5,"(284.96,292.5)",289.1927931,1.5048066,2.2644429,290.46,292.5,289.32,284.96,288.16
ECO2LSTE_001_SDS_LST_doy2022345163212_aid0001,SDS_LST,aid0001,2022-12-11 16:32:12 UTC,25135,001,0601,True,1962.0,255.98,265.96,"(255.98,265.96)",261.2396636,2.0088851,4.0356193,262.715,265.96,261.12,255.98,259.7
ECO2LSTE_001_SDS_LST_doy2022350221631_aid0001,SDS_LST,aid0001,2022-12-16 22:16:31 UTC,25216,016,0601,True,1944.0,260.66,279.28,"(260.66,279.28)",271.5996605,4.2496963,18.059919,274.845,279.28,272.16,260.66,268.34
ECO2LSTE_001_SDS_LST_doy2022353131854_aid0001,SDS_LST,aid0001,2022-12-19 13:18:54 UTC,25257,003,0601,True,1932.0,274.02,279.52,"(274.02,279.52)",276.1622464,0.9276746,0.8605803,276.74,278.56,276.08,274.02,275.48
ECO2LSTE_001_SDS_LST_doy2022354203923_aid0001,SDS_LST,aid0001,2022-12-20 20:39:23 UTC,25277,014,0601,True,1962.0,293.0,301.5,"(293.0,301.5)",297.9139959,1.1036603,1.2180661,298.68,300.7,298.1,295.14,297.26
ECO2LSTE_001_SDS_LST_doy2022357114317_aid0001,SDS_LST,aid0001,2022-12-23 11:43:17 UTC,25318,005,0601,True,1935.0,277.7,282.48,"(277.7,282.48)",279.7167545,0.766046,0.5868265,280.18,281.64,279.66,277.7,279.16
ECO2LSTE_001_SDS_LST_doy2022361100751_aid0001,SDS_LST,aid0001,2022-12-27 10:07:51 UTC,25379,004,0601,True,1935.0,239.6,256.2,"(239.6,256.2)",246.3541499,2.6102665,6.8134909,247.9,252.9,246.26,239.6,244.55
ECO2LSTE_001_SDS_LST_doy2022365083156_aid0001,SDS_LST,aid0001,2022-12-31 08:31:56 UTC,25440,001,0601,True,1950.0,275.6,279.24,"(275.6,279.24)",276.9582256,0.6118853,0.3744036,277.32,278.54,276.92,275.6,276.5
